cluster_id,risk_score,risk_level,false_alarm_indicator,classification_label,alert_priority,recommended_action,nearest_station_name,station_distance_km,station_available,alert_rationale
10,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Erode District Fire Station,38.32,True,Low Risk Index representing routine thermal baseline.
11,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Erode District Fire Station,19.75,True,Low Risk Index representing routine thermal baseline.
12,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),42.33,True,Low Risk Index representing routine thermal baseline.
13,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire Station Chidambaram,14.43,True,Low Risk Index representing routine thermal baseline.
14,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,22.89,True,Low Risk Index representing routine thermal baseline.
15,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Control Room,10.96,True,Low Risk Index representing routine thermal baseline.
16,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Villupuram Fire Station,14.45,True,Low Risk Index representing routine thermal baseline.
17,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Villupuram Fire Station,6.97,True,Low Risk Index representing routine thermal baseline.
18,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),47.57,True,Low Risk Index representing routine thermal baseline.
19,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Vellore Fire station,39.35,True,Low Risk Index representing routine thermal baseline.
20,41.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
21,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,18.45,True,Low Risk Index representing routine thermal baseline.
22,92.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (92.0) combined with high evidence reliability (Low False-Alarm Concern).
23,28.9,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
24,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
25,41.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
26,22.1,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),28.29,True,Low Risk Index representing routine thermal baseline.
27,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
28,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
29,12.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
30,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),35.47,True,Low Risk Index representing routine thermal baseline.
31,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),48.71,True,Low Risk Index representing routine thermal baseline.
32,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,47.7,True,Low Risk Index representing routine thermal baseline.
33,38.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Kallakurichi Fire Station (24.4 km away).,Kallakurichi Fire Station,24.35,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
34,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Villupuram Fire Station,20.14,True,Low Risk Index representing routine thermal baseline.
35,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Villupuram Fire Station,4.83,True,Low Risk Index representing routine thermal baseline.
36,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Control Room,17.81,True,Low Risk Index representing routine thermal baseline.
37,34.0,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Villupuram Fire Station (45.5 km away).,Villupuram Fire Station,45.51,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
38,38.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
39,79.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (79.0) combined with high evidence reliability (Low False-Alarm Concern).
40,64.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (64.0) combined with high evidence reliability (Low False-Alarm Concern).
41,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kalmeshwar Fire Station,12.62,True,Low Risk Index representing routine thermal baseline.
42,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,49.21,True,Low Risk Index representing routine thermal baseline.
43,17.8,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
44,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
45,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
46,29.8,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
47,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
48,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
49,42.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
50,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
51,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Jharkhand Fire Services HQ,35.61,True,Low Risk Index representing routine thermal baseline.
52,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Jharkhand Fire Services HQ,48.9,True,Low Risk Index representing routine thermal baseline.
53,57.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (38.9 km away).,Fire station (unnamed),38.91,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
54,36.0,MEDIUM,LOW,Unknown / Insufficient Evidence,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Asansol Fire Station (14.3 km away).,Asansol Fire Station,14.31,True,Moderate thermal risk context (Unknown / Insufficient Evidence). Operational review recommended.
55,29.8,LOW,MEDIUM,Forest/Natural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),43.6,True,Low Risk Index representing routine thermal baseline.
56,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),47.16,True,Low Risk Index representing routine thermal baseline.
57,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),45.63,True,Low Risk Index representing routine thermal baseline.
58,65.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Fire station (unnamed) (48.0 km away).,Fire station (unnamed),48.05,True,High Risk Index (65.0) combined with high evidence reliability (Low False-Alarm Concern).
59,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Asansol Fire Brigade,49.59,True,Low Risk Index representing routine thermal baseline.
60,47.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire And Rescue Service Station (7.8 km away).,Fire And Rescue Service Station,7.78,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
61,12.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire And Rescue Service Station,42.12,True,Low Risk Index representing routine thermal baseline.
62,50.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
63,35.0,MEDIUM,LOW,Unknown / Insufficient Evidence,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (47.7 km away).,Fire station (unnamed),47.7,True,Moderate thermal risk context (Unknown / Insufficient Evidence). Operational review recommended.
64,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),33.19,True,Low Risk Index representing routine thermal baseline.
65,35.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (49.3 km away).,Fire station (unnamed),49.3,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
66,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),49.68,True,Low Risk Index representing routine thermal baseline.
67,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),29.93,True,Low Risk Index representing routine thermal baseline.
68,22.9,LOW,MEDIUM,Forest/Natural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
69,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
70,27.0,LOW,LOW,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
71,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),21.63,True,Low Risk Index representing routine thermal baseline.
72,21.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
73,17.8,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Malik,46.76,True,Low Risk Index representing routine thermal baseline.
74,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
75,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
76,79.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Pedda Gantyada Fore Station (6.6 km away).,Pedda Gantyada Fore Station,6.61,True,High Risk Index (79.0) combined with high evidence reliability (Low False-Alarm Concern).
77,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
78,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
79,21.0,LOW,LOW,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,36.26,True,Low Risk Index representing routine thermal baseline.
80,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
81,17.8,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Mahadula Fire Station,13.05,True,Low Risk Index representing routine thermal baseline.
82,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,42.02,True,Low Risk Index representing routine thermal baseline.
83,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
84,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
85,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
86,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
87,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
88,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kangeyam Fire Station,42.91,True,Low Risk Index representing routine thermal baseline.
89,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station Chidambaram,12.92,True,Low Risk Index representing routine thermal baseline.
90,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
91,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Erode District Fire Station,27.11,True,Low Risk Index representing routine thermal baseline.
92,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Mettur FIre and Rescue Dept.,9.85,True,Low Risk Index representing routine thermal baseline.
93,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,7.43,True,Low Risk Index representing routine thermal baseline.
94,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
95,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),34.12,True,Low Risk Index representing routine thermal baseline.
96,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Koothanallur Fire  Station,18.45,True,Low Risk Index representing routine thermal baseline.
97,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),27.07,True,Low Risk Index representing routine thermal baseline.
98,28.9,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),27.16,True,Low Risk Index representing routine thermal baseline.
99,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station Chidambaram,30.27,True,Low Risk Index representing routine thermal baseline.
100,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station Chidambaram,19.05,True,Low Risk Index representing routine thermal baseline.
101,34.0,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Villupuram Fire Station (19.3 km away).,Villupuram Fire Station,19.33,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
102,55.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Kallakurichi Fire Station (41.8 km away).,Kallakurichi Fire Station,41.79,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
103,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Gudibanda Fire Station,40.57,True,Low Risk Index representing routine thermal baseline.
104,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
105,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Ballari Fire Station,16.21,True,Low Risk Index representing routine thermal baseline.
106,46.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
107,65.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (65.0) combined with high evidence reliability (Low False-Alarm Concern).
108,15.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
109,16.0,LOW,HIGH,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
110,16.0,LOW,HIGH,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
111,33.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
112,41.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
113,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
114,22.1,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
115,32.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Thermal Plant (36.7 km away).,Thermal Plant,36.73,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
116,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Saharanpur Fire Station,44.03,True,Low Risk Index representing routine thermal baseline.
117,28.9,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
118,34.0,MEDIUM,MEDIUM,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire And Rescue Service Station (18.0 km away).,Fire And Rescue Service Station,17.96,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
119,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Sattur Fire Station,8.07,True,Low Risk Index representing routine thermal baseline.
120,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire Station Chidambaram,2.48,True,Low Risk Index representing routine thermal baseline.
121,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
122,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),32.41,True,Low Risk Index representing routine thermal baseline.
123,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
124,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Gauribidanur Fire Station,37.0,True,Low Risk Index representing routine thermal baseline.
125,22.1,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
126,40.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
127,70.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (70.0) combined with high evidence reliability (Low False-Alarm Concern).
128,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
129,76.0,HIGH,LOW,Agricultural-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (76.0) combined with high evidence reliability (Low False-Alarm Concern).
130,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station,36.85,True,Low Risk Index representing routine thermal baseline.
131,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire Station,49.3,True,Low Risk Index representing routine thermal baseline.
132,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
133,79.0,HIGH,LOW,Unknown / Insufficient Evidence,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Fire station (unnamed) (17.3 km away).,Fire station (unnamed),17.32,True,High Risk Index (79.0) combined with high evidence reliability (Low False-Alarm Concern).
134,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
135,28.9,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
136,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Sabbavaram Fire Station,3.77,True,Low Risk Index representing routine thermal baseline.
137,12.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Cantonment Board Ferozepur,20.13,True,Low Risk Index representing routine thermal baseline.
138,12.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Cantonment Board Ferozepur,34.98,True,Low Risk Index representing routine thermal baseline.
139,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
140,41.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
141,22.1,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
142,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
