cluster_id,classification_label,classification_score,classification_rationale,active_days,persistence_category,max_bright_ti4,bt_diff_max,max_frp,movement_status,total_movement_distance_km,osm_facility_type,osm_facility_name,osm_distance_km,osm_query_status,land_cover_class,satellite_image_available,predicted_landcover_class,prediction_confidence,observation_status
21,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.83,32.99,3.09,INSUFFICIENT_DATA,0.0,industrial,none,0.613,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 79.3%, threshold: 30.0%)"
22,Industrial-context thermal event,0.85,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=2)
- activity is spatially stationary (displacement=0.06 km)
- high spectral brightness temperature contrast (bt_diff=57.6 K)
- industrial facility detected nearby (industrial at 0.93 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,356.0,57.65,23.16,STATIONARY,0.059,industrial,none,0.927,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 66.1%, threshold: 30.0%)"
23,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=52.7 K)
- industrial facility detected nearby (plant at 0.90 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,343.28,52.71,3.41,INSUFFICIENT_DATA,0.0,plant,Raigarh Jindal power station,0.899,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 66.1%, threshold: 30.0%)"
24,Industrial-context thermal event,0.6,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=3)
- activity is spatially stationary (displacement=0.12 km)
- high spectral brightness temperature contrast (bt_diff=47.4 K)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",3,short_lived_repeated,345.09,47.36,8.32,STATIONARY,0.123,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)"
25,Agricultural-context thermal event,0.4,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=2)
- moderate thermal power typical of crop burning (max_frp=5.8 MW)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,333.15,37.07,5.76,MOVING,0.59,industrial,Tata Steel,0.331,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 87.8%, threshold: 30.0%)"
26,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=42.1 K)
- industrial facility detected nearby (mine at 0.65 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.66,42.1,2.64,INSUFFICIENT_DATA,0.0,mine,West Bokaro Coal Mine,0.65,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)"
27,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.26,32.89,4.02,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.5%, threshold: 30.0%)"
28,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.04,33.65,4.87,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.5%, threshold: 30.0%)"
29,Agricultural-context thermal event,0.4,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.4 MW)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,331.81,33.28,5.41,INSUFFICIENT_DATA,0.0,works,none,0.759,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.5%, threshold: 30.0%)"
30,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=6.5 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.15,43.84,6.47,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)"
31,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,331.58,38.77,4.35,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 45.6%, threshold: 30.0%)"
32,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,333.21,41.5,3.44,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)"
33,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=15.0 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,340.2,49.18,15.02,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 79.9%, threshold: 30.0%)"
34,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.05,39.54,1.68,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
35,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,333.69,42.3,2.4,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
36,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,334.67,43.28,3.22,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
37,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=7.9 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,341.51,52.93,7.9,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.7%, threshold: 30.0%)"
38,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=16.1 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,343.41,42.24,16.12,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,Pasture,0.4936,Satellite CNN prediction: Pasture (confidence: 0.49)
39,Industrial-context thermal event,0.85,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=3)
- activity is spatially stationary (displacement=0.13 km)
- high spectral brightness temperature contrast (bt_diff=56.4 K)
- industrial facility detected nearby (metal_processing at 1.10 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",3,short_lived_repeated,332.4,56.39,6.33,STATIONARY,0.13,metal_processing,Tata Steel Meramandali,1.098,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 92.0%, threshold: 30.0%)"
40,Industrial-context thermal event,0.85,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=3)
- activity is spatially stationary (displacement=0.33 km)
- high spectral brightness temperature contrast (bt_diff=53.1 K)
- industrial facility detected nearby (industrial at 1.35 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",3,short_lived_repeated,347.01,53.09,9.17,STATIONARY,0.332,industrial,Angul Steel Plant,1.352,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 91.3%, threshold: 30.0%)"
41,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,310.54,20.37,3.32,INSUFFICIENT_DATA,0.0,mine,Adasa Coal Mine,1.281,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.7%, threshold: 30.0%)"
42,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,308.07,19.56,1.77,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.4%, threshold: 30.0%)"
43,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=2)
- minor localized plot displacement
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,304.74,24.15,1.56,STATIONARY,0.051,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.4%, threshold: 30.0%)"
44,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,299.15,22.31,1.78,INSUFFICIENT_DATA,0.0,industrial,none,0.231,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 71.5%, threshold: 30.0%)"
45,Industrial-context thermal event,0.65,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=2)
- activity is spatially stationary (displacement=0.08 km)
- industrial facility detected nearby (plant at 0.33 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,303.59,27.59,1.16,STATIONARY,0.081,plant,BEL,0.329,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.4%, threshold: 30.0%)"
46,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,301.39,35.69,0.94,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)"
47,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,298.63,32.73,0.87,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)"
48,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,299.53,31.42,1.59,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 76.6%, threshold: 30.0%)"
49,Industrial-context thermal event,0.65,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=3)
- activity is spatially stationary (displacement=0.47 km)
- industrial facility detected nearby (industrial at 1.07 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",3,short_lived_repeated,330.47,34.69,2.61,STATIONARY,0.469,industrial,none,1.073,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.4%, threshold: 30.0%)"
50,Industrial-context thermal event,0.85,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=3)
- activity is spatially stationary (displacement=0.03 km)
- high spectral brightness temperature contrast (bt_diff=49.5 K)
- industrial facility detected nearby (industrial at 0.46 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",3,short_lived_repeated,347.93,49.53,5.9,STATIONARY,0.028,industrial,none,0.461,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.4%, threshold: 30.0%)"
51,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,312.65,26.46,2.23,INSUFFICIENT_DATA,0.0,mine,none,0.7,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 90.7%, threshold: 30.0%)"
52,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,311.85,34.52,1.4,INSUFFICIENT_DATA,0.0,brickyard,none,1.25,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 89.0%, threshold: 30.0%)"
53,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=2)
- minor localized plot displacement
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,308.72,25.27,2.03,STATIONARY,0.104,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)"
54,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,310.82,30.88,1.63,MOVING,0.774,industrial,none,0.441,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 70.6%, threshold: 30.0%)"
55,Forest/Natural-context thermal event,0.55,"Forest/Natural-context thermal event
Supporting evidence:
- active spatial displacement observed (movement=0.75 km)
- multi-day active fire duration
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,311.71,36.28,2.09,MOVING,0.749,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)"
56,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,301.25,25.27,0.69,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 89.0%, threshold: 30.0%)"
57,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,310.45,36.99,2.08,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)"
58,Industrial-context thermal event,0.85,"Industrial-context thermal event
Supporting evidence:
- activity is recurring (active_days=2)
- activity is spatially stationary (displacement=0.30 km)
- high spectral brightness temperature contrast (bt_diff=37.1 K)
- industrial facility detected nearby (mine at 1.52 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",2,short_lived_repeated,324.58,37.06,3.93,STATIONARY,0.299,mine,none,1.518,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)"
59,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,315.68,29.51,2.23,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)"
